analysis_period,gvkey,commodity,alpha,beta,p_value_beta,r_squared,spearman_corr,spearman_pval
Up to end_of_2010,1075,SN1 Comdty,24.574132984787962,0.00048307402422630505,4.285950876841537e-84,0.7757100670434283,0.7164183749222449,1.935488234333716e-41
Up to end_of_2010,1076,SN1 Comdty,4.038991421430877,0.00010314837676493919,4.61759997440138e-31,0.41255237620090246,0.5782561056279096,3.737903363126114e-24
Up to end_of_2010,1078,SN1 Comdty,-42.03370939347687,0.002936438795205716,8.028752370927352e-05,0.8365226115333994,0.9454545454545454,1.118303770149319e-05
Up to end_of_2010,1209,SN1 Comdty,1.6984344718429494,-8.098380291192362e-06,1.3075213397283487e-07,0.10563489684918292,-0.2789616505460771,6.926564767261882e-06
Up to end_of_2010,1300,SN1 Comdty,0.028956277608297797,-5.409642996818564e-07,3.6252990957507554e-09,0.614311592959554,-0.6849776815711619,1.509047428461207e-06
Up to end_of_2010,1327,SN1 Comdty,0.13694760805460887,2.1096475213522175e-06,1.7726350806707074e-12,0.2861309003394804,0.6287410949669868,7.021375051840713e-18
Up to end_of_2010,1380,SN1 Comdty,0.011481769183592352,-1.3307972425358856e-07,2.3281695740786055e-05,0.28428874207558485,-0.7826931881434923,1.036124211646928e-12
Up to end_of_2010,1410,SN1 Comdty,0.2787619742537516,3.242131884902307e-07,0.7725499087724941,0.000498648098662513,0.43110403566790745,4.391799876182133e-09
Up to end_of_2010,1598,SN1 Comdty,-2.7207085779302576,0.0003160354014555896,3.2809891686049544e-41,0.5112277732268189,0.6332727462870795,5.459999359050436e-30
Up to end_of_2010,1659,SN1 Comdty,0.061193466848608005,1.225481711570783e-06,1.4194271054089222e-10,0.15033497706403343,0.616733255814705,4.099862296392753e-28
Up to end_of_2010,1661,SN1 Comdty,3.2256933171105255,-2.589086879739279e-05,8.45101341998595e-20,0.27997078220594296,-0.7324133458972301,3.957354525836727e-44
Up to end_of_2010,1678,SN1 Comdty,50.714405653437694,0.00024749878059569894,5.2368352514095215e-08,0.1107104960368901,0.2532555435701725,4.291629321638431e-05
Up to end_of_2010,1690,SN1 Comdty,2.6176396413647787,-4.2875773225370595e-06,0.10029929308970935,0.010766343676856471,-0.3455448777914706,1.7757842239192954e-08
Up to end_of_2010,1722,SN1 Comdty,0.5334586130921445,-4.485909824522923e-06,0.03211837846188014,0.32858823678089943,-0.5516483516483517,0.040849058351122895
Up to end_of_2010,1773,SN1 Comdty,11.324037087633148,0.0002499801347509317,1.9553660494421023e-09,0.7423305120336491,0.7980295566502461,2.1536746921636076e-07
Up to end_of_2010,2086,SN1 Comdty,3.886138432055467,-2.19116737548208e-05,0.00045602319112961594,0.049807378525259405,-0.4382508286848074,7.951983824254492e-13
Up to end_of_2010,2101,SN1 Comdty,0.11576292344433023,-8.098708279960572e-07,5.016756741163667e-06,0.09213623001511673,-0.5894875476846475,8.611640861479982e-22
Up to end_of_2010,2176,SN1 Comdty,0.02842659220972707,6.266293910369399e-07,3.523383173236428e-13,0.19964144801899608,0.6647408859842246,5.608256844756024e-32
Up to end_of_2010,2184,SN1 Comdty,7.4046190413479716,-6.093167751284634e-05,1.680477909239779e-37,0.4938700935258248,-0.757315675911013,1.70534282673933e-46
Up to end_of_2010,2220,SN1 Comdty,7.953496452994131,0.00010411946735780988,4.0458546989232014e-20,0.2949254563101942,0.6049643414230681,9.530750904022259e-26
Up to end_of_2010,2259,SN1 Comdty,8.09865467266366,4.7681132646966734e-05,3.5353183797433e-26,0.39147714776699516,0.5743487041924503,2.0746497811532437e-21
Up to end_of_2010,2269,SN1 Comdty,6.303194772538186,-2.3565367049282267e-05,0.02122514724526146,0.07562198359125405,-0.3680025195007365,0.0017228392277335433
Up to end_of_2010,2270,SN1 Comdty,2.7670861988727444,5.343191291235164e-06,0.0015239208227975903,0.10849380254492313,0.18746733068707752,0.07683826351496541
Up to end_of_2010,2285,SN1 Comdty,0.017188591419251886,3.63087478182917e-07,1.4194163712914258e-15,0.23799369770831147,0.6809424289014435,1.2240855648311041e-33
Up to end_of_2010,2312,SN1 Comdty,3.015560593944479,-2.062578439478291e-05,8.086047532699985e-20,0.28693547650899354,-0.7060752907911552,9.643923782999607e-39
Up to end_of_2010,2352,SN1 Comdty,0.2326964467558837,1.4467209461217845e-05,6.56130144639919e-27,0.5147661764321848,0.8061954127882252,2.6401703559598877e-38
Up to end_of_2010,2403,SN1 Comdty,3.7532789912519178,0.00024786508299716003,8.288525969493628e-24,0.33560963825517065,0.7806348513312211,1.5374180782843376e-52
Up to end_of_2010,2436,SN1 Comdty,31.685247480628163,0.001135417177993845,4.948356500072325e-71,0.7630129147055099,0.836812126245898,9.704198273020386e-60
Up to end_of_2010,2444,SN1 Comdty,8.005245179304712,0.00010564830443962964,8.415204515036064e-11,0.1554642915656267,0.4539876863572998,3.2320901230804864e-14
Up to end_of_2010,2448,SN1 Comdty,0.06190014242470509,6.659514242511308e-06,1.1384761863774162e-28,0.4052064490029603,0.7975547196507705,3.6998920797064493e-54
Up to end_of_2010,2536,SN1 Comdty,-0.055513532158483946,3.816637594769173e-06,6.857170696711487e-82,0.7787550723699684,0.3767701085555673,1.0228672751160757e-09
Up to end_of_2010,2547,SN1 Comdty,-0.1284851821037373,1.7465668399880067e-05,3.6870287322612646e-22,0.45896201446226303,0.6864153409014828,6.355322316497423e-23
Up to end_of_2010,2574,SN1 Comdty,0.025819827211620298,-1.2239095044731853e-07,0.008455103816678656,0.028190489540753427,-0.06417025938475555,0.31715657885727466
Up to end_of_2010,2577,SN1 Comdty,0.22488885060400224,-1.3982905282836306e-06,2.9897917239848418e-09,0.168662071176921,-0.5939936351058153,8.617741222940348e-20
Up to end_of_2010,2593,SN1 Comdty,2.8499376619028713,7.968165855530526e-06,0.0036584709006422813,0.05639422058862542,0.36393436250930633,5.446132769594855e-06
Up to end_of_2010,2596,SN1 Comdty,1828.8935009348972,-0.014442716267004618,0.0011886469712392381,0.05259104310935192,-0.4315416523932422,2.433299922279209e-10
Up to end_of_2010,2628,SN1 Comdty,3425.644587736528,-0.0017521377798361652,0.590124838979089,0.0012057118903361363,0.15566179554515158,0.015147257666903342
Up to end_of_2010,2663,SN1 Comdty,0.6753945239279658,-3.4651270195988874e-06,7.291959518120123e-07,0.09854559946319641,-0.4811456381322621,2.9834386253016944e-15
Up to end_of_2010,2710,SN1 Comdty,1.484036669700737,-9.274899585510885e-06,3.740916819018624e-10,0.15349081197065906,-0.5544407515914207,1.3923448388810716e-20
Up to end_of_2010,2751,SN1 Comdty,2.5778744977993804,-2.9678384891779594e-05,7.4339593649353885e-19,0.2880142232158449,-0.6770470507690499,9.847938953296131e-33
Up to end_of_2010,2771,SN1 Comdty,0.9222156098309853,1.85265081732539e-05,2.4581188051043138e-20,0.30302392174870396,0.2626646751130269,3.925223161129498e-05
Up to end_of_2010,2787,SN1 Comdty,6.561536063755938,-0.00010848861049145244,9.73130339140238e-37,0.49515131226357734,-0.770028107410645,9.17575475634393e-48
Up to end_of_2010,2807,SN1 Comdty,1.240659833432303,2.9047891430713666e-06,0.008682153398443335,0.029690422216271384,0.14961324815812324,0.02294162497016352
Up to end_of_2010,2817,SN1 Comdty,0.9587659034207069,2.8216181240966985e-06,0.04301056232157039,0.017238081331599986,-0.17574830344499998,0.006563265480805417
Up to end_of_2010,2820,SN1 Comdty,1.8084876539010923,-1.4515453318300499e-05,8.228514003429832e-12,0.37459429457062876,-0.4974158599475255,1.0461067772194946e-07
Up to end_of_2010,2884,SN1 Comdty,0.17914530410600765,-2.0785301683375336e-07,0.01667968869877024,0.02978340152309089,-0.14096073769078002,0.05115187913305386
Up to end_of_2010,2960,SN1 Comdty,-0.2926148308509006,1.901495212457987e-05,8.388087126632265e-40,0.6052736668066419,0.6815917699651817,2.669437923896737e-27
Up to end_of_2010,2986,SN1 Comdty,0.38606149646815624,3.295969565310336e-07,0.47485172703112766,0.002069508253561003,0.2725264449461248,1.2911673110548191e-05
Up to end_of_2010,2991,SN1 Comdty,-7.074041239099135,0.0002762779523364068,1.52296921760389e-87,0.8117350550525277,0.865999193976789,5.535106518722919e-73
