Commodity,Date,Open
CL1 Comdty,04/01/2010,79.76
CL1 Comdty,05/01/2010,81.64
CL1 Comdty,06/01/2010,81.45
CL1 Comdty,07/01/2010,83.19
CL1 Comdty,08/01/2010,82.65
CL1 Comdty,11/01/2010,82.88
CL1 Comdty,12/01/2010,82.07
CL1 Comdty,13/01/2010,80.06
CL1 Comdty,14/01/2010,79.63
CL1 Comdty,15/01/2010,79.2
CL1 Comdty,19/01/2010,78.18
CL1 Comdty,20/01/2010,78.88
CL1 Comdty,21/01/2010,77.57
CL1 Comdty,22/01/2010,75.87
CL1 Comdty,25/01/2010,74.24
CL1 Comdty,26/01/2010,75.35
CL1 Comdty,27/01/2010,74.68
CL1 Comdty,28/01/2010,73.71
CL1 Comdty,29/01/2010,73.82
CL1 Comdty,01/02/2010,72.75
CL1 Comdty,02/02/2010,74.94
CL1 Comdty,03/02/2010,76.98
CL1 Comdty,04/02/2010,77.09
CL1 Comdty,05/02/2010,73.01
CL1 Comdty,08/02/2010,72.18
CL1 Comdty,09/02/2010,71.71
CL1 Comdty,10/02/2010,73.83
CL1 Comdty,11/02/2010,74.6
CL1 Comdty,12/02/2010,75.3
CL1 Comdty,16/02/2010,74
CL1 Comdty,17/02/2010,77.34
CL1 Comdty,18/02/2010,77.29
CL1 Comdty,19/02/2010,78.36
CL1 Comdty,22/02/2010,80.1
CL1 Comdty,23/02/2010,80.04
CL1 Comdty,24/02/2010,79.11
CL1 Comdty,25/02/2010,80.28
CL1 Comdty,26/02/2010,78.28
CL1 Comdty,01/03/2010,79.79
CL1 Comdty,02/03/2010,78.88
CL1 Comdty,03/03/2010,79.64
CL1 Comdty,04/03/2010,81.01
CL1 Comdty,05/03/2010,80.58
CL1 Comdty,08/03/2010,81.75
CL1 Comdty,09/03/2010,81.73
CL1 Comdty,10/03/2010,81.38
CL1 Comdty,11/03/2010,81.97
CL1 Comdty,12/03/2010,82.2
CL1 Comdty,15/03/2010,81.13
CL1 Comdty,16/03/2010,79.87
CL1 Comdty,17/03/2010,82.04
CL1 Comdty,18/03/2010,82.85
CL1 Comdty,19/03/2010,82.17
CL1 Comdty,22/03/2010,80.93
CL1 Comdty,23/03/2010,81.82
CL1 Comdty,24/03/2010,81.58
CL1 Comdty,25/03/2010,80.25
CL1 Comdty,26/03/2010,80.15
CL1 Comdty,29/03/2010,80.24
CL1 Comdty,30/03/2010,82.5
CL1 Comdty,31/03/2010,82.5
CL1 Comdty,01/04/2010,83.36
CL1 Comdty,05/04/2010,85.31
CL1 Comdty,06/04/2010,86.74
CL1 Comdty,07/04/2010,86.76
CL1 Comdty,08/04/2010,85.63
CL1 Comdty,09/04/2010,85.58
CL1 Comdty,12/04/2010,85.17
CL1 Comdty,13/04/2010,84.36
CL1 Comdty,14/04/2010,83.82
CL1 Comdty,15/04/2010,85.91
CL1 Comdty,16/04/2010,85.31
CL1 Comdty,19/04/2010,82.9
CL1 Comdty,20/04/2010,81.69
CL1 Comdty,21/04/2010,84.08
CL1 Comdty,22/04/2010,83.47
CL1 Comdty,23/04/2010,83.75
CL1 Comdty,26/04/2010,85.22
CL1 Comdty,27/04/2010,83.89
CL1 Comdty,28/04/2010,81.84
CL1 Comdty,29/04/2010,83.33
CL1 Comdty,30/04/2010,85.58
CL1 Comdty,03/05/2010,86.2
CL1 Comdty,04/05/2010,86.09
CL1 Comdty,05/05/2010,82.13
CL1 Comdty,06/05/2010,79.63
CL1 Comdty,07/05/2010,76.95
CL1 Comdty,10/05/2010,76.11
CL1 Comdty,11/05/2010,77.27
CL1 Comdty,12/05/2010,75.89
CL1 Comdty,13/05/2010,75.47
CL1 Comdty,14/05/2010,73.99
CL1 Comdty,17/05/2010,71.77
CL1 Comdty,18/05/2010,70.5
CL1 Comdty,19/05/2010,69.11
CL1 Comdty,20/05/2010,71.2
CL1 Comdty,21/05/2010,69.52
CL1 Comdty,24/05/2010,70.62
CL1 Comdty,25/05/2010,69.9
CL1 Comdty,26/05/2010,70.05
CL1 Comdty,27/05/2010,70.74
CL1 Comdty,28/05/2010,74.86
CL1 Comdty,01/06/2010,73.97
CL1 Comdty,02/06/2010,71.92
CL1 Comdty,03/06/2010,73.7
CL1 Comdty,04/06/2010,74.61
CL1 Comdty,07/06/2010,70.35
CL1 Comdty,08/06/2010,71.16
CL1 Comdty,09/06/2010,72.51
CL1 Comdty,10/06/2010,73.87
CL1 Comdty,11/06/2010,75.52
CL1 Comdty,14/06/2010,74.06
CL1 Comdty,15/06/2010,74.78
CL1 Comdty,16/06/2010,77.09
CL1 Comdty,17/06/2010,77.44
CL1 Comdty,18/06/2010,76.55
CL1 Comdty,21/06/2010,77.5
CL1 Comdty,22/06/2010,77.35
CL1 Comdty,23/06/2010,77.52
CL1 Comdty,24/06/2010,76
CL1 Comdty,25/06/2010,76.56
CL1 Comdty,28/06/2010,79
CL1 Comdty,29/06/2010,78.15
CL1 Comdty,30/06/2010,75.46
CL1 Comdty,01/07/2010,75.37
CL1 Comdty,02/07/2010,72.67
CL1 Comdty,06/07/2010,72.06
CL1 Comdty,07/07/2010,72.07
CL1 Comdty,08/07/2010,74.85
CL1 Comdty,09/07/2010,75.85
CL1 Comdty,12/07/2010,76.3
CL1 Comdty,13/07/2010,75.06
CL1 Comdty,14/07/2010,77.13
CL1 Comdty,15/07/2010,76.76
CL1 Comdty,16/07/2010,76.82
CL1 Comdty,19/07/2010,75.6
CL1 Comdty,20/07/2010,76.4
CL1 Comdty,21/07/2010,77.85
CL1 Comdty,22/07/2010,76.43
CL1 Comdty,23/07/2010,79.27
CL1 Comdty,26/07/2010,78.98
CL1 Comdty,27/07/2010,78.92
CL1 Comdty,28/07/2010,77.08
CL1 Comdty,29/07/2010,76.89
CL1 Comdty,30/07/2010,78.25
CL1 Comdty,02/08/2010,78.95
CL1 Comdty,03/08/2010,81.41
CL1 Comdty,04/08/2010,82.42
CL1 Comdty,05/08/2010,82.44
CL1 Comdty,06/08/2010,82.12
CL1 Comdty,09/08/2010,80.91
CL1 Comdty,10/08/2010,81.44
CL1 Comdty,11/08/2010,80.22
CL1 Comdty,12/08/2010,77.31
CL1 Comdty,13/08/2010,75.75
CL1 Comdty,16/08/2010,75.6
CL1 Comdty,17/08/2010,75.06
CL1 Comdty,18/08/2010,75.45
CL1 Comdty,19/08/2010,75.27
CL1 Comdty,20/08/2010,74.45
CL1 Comdty,23/08/2010,73.9
CL1 Comdty,24/08/2010,72.95
CL1 Comdty,25/08/2010,71.47
CL1 Comdty,26/08/2010,72.82
CL1 Comdty,27/08/2010,73.18
CL1 Comdty,30/08/2010,75.5
CL1 Comdty,31/08/2010,74.07
CL1 Comdty,01/09/2010,71.7
CL1 Comdty,02/09/2010,73.91
CL1 Comdty,03/09/2010,74.93
CL1 Comdty,07/09/2010,74.3
CL1 Comdty,08/09/2010,73.91
CL1 Comdty,09/09/2010,74.92
CL1 Comdty,10/09/2010,74.4
CL1 Comdty,13/09/2010,76.36
CL1 Comdty,14/09/2010,77.17
CL1 Comdty,15/09/2010,76.64
CL1 Comdty,16/09/2010,75.76
CL1 Comdty,17/09/2010,74.47
CL1 Comdty,20/09/2010,73.59
CL1 Comdty,21/09/2010,74.57
CL1 Comdty,22/09/2010,74.79
CL1 Comdty,23/09/2010,74.84
CL1 Comdty,24/09/2010,74.95
CL1 Comdty,27/09/2010,76.47
CL1 Comdty,28/09/2010,76.23
CL1 Comdty,29/09/2010,76.2
CL1 Comdty,30/09/2010,77.91
CL1 Comdty,01/10/2010,79.84
CL1 Comdty,04/10/2010,81.68
CL1 Comdty,05/10/2010,81.37
CL1 Comdty,06/10/2010,82.6
CL1 Comdty,07/10/2010,83.27
CL1 Comdty,08/10/2010,81.43
CL1 Comdty,11/10/2010,82.95
CL1 Comdty,12/10/2010,81.94
CL1 Comdty,13/10/2010,81.72
CL1 Comdty,14/10/2010,83.23
CL1 Comdty,15/10/2010,82.77
CL1 Comdty,18/10/2010,81.38
CL1 Comdty,19/10/2010,82.95
CL1 Comdty,20/10/2010,79.48
CL1 Comdty,21/10/2010,82.55
CL1 Comdty,22/10/2010,80.73
CL1 Comdty,25/10/2010,82.01
CL1 Comdty,26/10/2010,82.47
CL1 Comdty,27/10/2010,82.48
CL1 Comdty,28/10/2010,81.99
CL1 Comdty,29/10/2010,81.92
CL1 Comdty,01/11/2010,81.45
CL1 Comdty,02/11/2010,82.88
CL1 Comdty,03/11/2010,84.37
CL1 Comdty,04/11/2010,85.09
CL1 Comdty,05/11/2010,86.6
CL1 Comdty,08/11/2010,87.39
CL1 Comdty,09/11/2010,86.75
CL1 Comdty,10/11/2010,86.45
CL1 Comdty,11/11/2010,87.85
CL1 Comdty,12/11/2010,87.73
CL1 Comdty,15/11/2010,84.87
CL1 Comdty,16/11/2010,84.58
CL1 Comdty,17/11/2010,82.44
CL1 Comdty,18/11/2010,80.45
CL1 Comdty,19/11/2010,82.24
CL1 Comdty,22/11/2010,82.15
CL1 Comdty,23/11/2010,81.61
CL1 Comdty,24/11/2010,80.99
CL1 Comdty,26/11/2010,84.21
CL1 Comdty,29/11/2010,83.9
CL1 Comdty,30/11/2010,85.81
CL1 Comdty,01/12/2010,83.66
CL1 Comdty,02/12/2010,86.8
CL1 Comdty,03/12/2010,87.94
CL1 Comdty,06/12/2010,89.44
CL1 Comdty,07/12/2010,88.92
CL1 Comdty,08/12/2010,88.35
CL1 Comdty,09/12/2010,88.55
CL1 Comdty,10/12/2010,88.51
CL1 Comdty,13/12/2010,87.68
CL1 Comdty,14/12/2010,88.19
CL1 Comdty,15/12/2010,88.28
CL1 Comdty,16/12/2010,88.48
CL1 Comdty,17/12/2010,87.87
CL1 Comdty,20/12/2010,88.18
CL1 Comdty,21/12/2010,89.22
CL1 Comdty,22/12/2010,89.99
CL1 Comdty,23/12/2010,90.61
CL1 Comdty,27/12/2010,91.07
CL1 Comdty,28/12/2010,90.79
CL1 Comdty,29/12/2010,91.27
CL1 Comdty,30/12/2010,90.98
CL1 Comdty,31/12/2010,89.67
CL1 Comdty,03/01/2011,91.31
CL1 Comdty,04/01/2011,91.5
CL1 Comdty,05/01/2011,89.29
CL1 Comdty,06/01/2011,90.47
CL1 Comdty,07/01/2011,88.18
CL1 Comdty,10/01/2011,89
CL1 Comdty,11/01/2011,89.31
CL1 Comdty,12/01/2011,91.18
CL1 Comdty,13/01/2011,92
CL1 Comdty,14/01/2011,90.99
CL1 Comdty,18/01/2011,91.51
CL1 Comdty,19/01/2011,91.34
CL1 Comdty,20/01/2011,90.7
CL1 Comdty,21/01/2011,89.45
CL1 Comdty,24/01/2011,89.26
CL1 Comdty,25/01/2011,87.7
CL1 Comdty,26/01/2011,86.23
CL1 Comdty,27/01/2011,87.55
CL1 Comdty,28/01/2011,85.28
CL1 Comdty,31/01/2011,89.97
CL1 Comdty,01/02/2011,92.2
CL1 Comdty,02/02/2011,90.51
CL1 Comdty,03/02/2011,90.93
CL1 Comdty,04/02/2011,90.63
CL1 Comdty,07/02/2011,89.06
CL1 Comdty,08/02/2011,87.41
CL1 Comdty,09/02/2011,87.35
CL1 Comdty,10/02/2011,86.93
CL1 Comdty,11/02/2011,87.7
